"","Style","Artist","Painting","URL"
"101","Metaphysical Art","Giorgio de Chirico ","Hector and Andromache","https://uploads7.wikiart.org/images/giorgio-de-chirico/hector-and-andromache-1912.jpg!Large.jpg"
"102","Metaphysical Art","Giorgio de Chirico ","The Uncertainty of the Poet","https://uploads4.wikiart.org/images/giorgio-de-chirico/the-uncertainty-of-the-poet-1913.jpg!Large.jpg"
"103","Metaphysical Art","Giorgio Morandi ","Metaphysical Still Life","https://uploads5.wikiart.org/images/giorgio-morandi/metaphysical-still-life-1918.jpg"
"104","Metaphysical Art","Giorgio Morandi ","Metaphysical Still Life with Triangle","https://uploads2.wikiart.org/images/giorgio-morandi/metaphysical-still-life-with-triangle-1919.jpg!Large.jpg"
"105","Metaphysical Art","Nina Tokhtaman Valetova","Creation and Destruction","https://uploads0.wikiart.org/00124/images/nina-tokhtaman-valetova/creation-and-destruction-86x60-cmxcm-2009-1.jpg!Large.jpg"
"106","Metaphysical Art","Nina Tokhtaman Valetova","Dinner in Honor of Meeting","https://uploads5.wikiart.org/00126/images/nina-tokhtaman-valetova/dinner-in-honor-of-meeting-oil-painting.JPG!Large.JPG"
"107","Tonalism","George Inness ","Early Moonrise, Florida","https://uploads3.wikiart.org/images/george-inness/early-moonrise-florida-1893.jpg!Large.jpg"
"108","Tonalism","George Inness ","Landscape with Sheep","https://uploads8.wikiart.org/00285/images/george-inness/landscape-with-sheep.jpg"
"109","Tonalism","Edward Mitchell Bannister ","Driving Home the Cows","https://uploads4.wikiart.org/images/edward-mitchell-bannister/driving-home-the-cows-1881.jpg"
"110","Tonalism","Edward Mitchell Bannister ","Untitled (Moon Over a Harbor)","https://uploads2.wikiart.org/images/edward-mitchell-bannister/untitled-moon-over-a-harbor-1868.jpg!Large.jpg"
"111","Tonalism","James McNeill Whistler ","Morning Glories","https://uploads0.wikiart.org/images/james-mcneill-whistler/morning-glories.jpg!Large.jpg"
"112","Tonalism","James McNeill Whistler ","Variations in Pink and Grey: Chelsea","https://uploads2.wikiart.org/images/james-mcneill-whistler/variations-in-pink-and-grey-chelsea.jpg!Large.jpg"
"113","Tonalism","Alexander Helwig Wyant ","Near Conway, North Wales","https://uploads5.wikiart.org/00257/images/alexander-helwig-wyant/near-conway-north-wales-1868.jpg!Large.jpg"
"114","Tonalism","Alexander Helwig Wyant ","Falls of the Ohio, Louisville","https://uploads1.wikiart.org/00257/images/alexander-helwig-wyant/falls-of-the-ohio-louisville-1863.jpg!Large.jpg"
"115","Tonalism","Albert Pinkham Ryder ","Perrette","https://uploads5.wikiart.org/images/albert-pinkham-ryder/perrette-1890.jpg!Large.jpg"
